Title,Course Price,Subscribers,Reviews Left,Length,Percent of Reviews
Learn by Example : ReactJS,50,1496,37,7.5 hours,"['978850', 'Learn by Example : ReactJS', 'https://www.udemy.com/learn-by-example-reactjs/', 'TRUE', '50', '1496', '37', '74', 'Beginner Level', '7.5 hours', '2016-12-27T19:39:12Z']"
React.js Quickly: Developing Scalable Web User Interfaces,50,4447,76,4 hours,"['825354', 'React.js Quickly: Developing Scalable Web User Interfaces', 'https://www.udemy.com/react-quickly/', 'TRUE', '50', '4447', '76', '24', 'Intermediate Level', '4 hours', '2016-04-19T17:27:00Z']"
JavaScript - Tricks and Workarounds,100,1410,134,5 hours,"['822670', 'JavaScript - Tricks and Workarounds', 'https://www.udemy.com/javascript-tricks-and-workarounds/', 'TRUE', '100', '1410', '134', '67', 'All Levels', '5 hours', '2016-04-15T18:47:45Z']"
Kids Coding - Beginner HTML,20,6628,53,1 hour,"['65492', 'Kids Coding - Beginner HTML', 'https://www.udemy.com/kids-coding-beginner-html/', 'TRUE', '20', '6628', '53', '19', 'Beginner Level', '1 hour', '2013-07-19T20:44:50Z']"
Learn PHP from scratch!!,25,1908,12,1.5 hours,"['1051672', 'Learn PHP from scratch!!', 'https://www.udemy.com/learn-php-from-scratch-by-niveditajain/', 'TRUE', '25', '1908', '12', '17', 'Beginner Level', '1.5 hours', '2017-04-28T13:57:56Z']"
PHP with PDO - ULTIMATE Crash Course,50,1248,171,1.5 hours,"['688968', 'PHP with PDO - ULTIMATE Crash Course', 'https://www.udemy.com/php-with-pdo-ultimate-crash-course/', 'TRUE', '50', '1248', '171', '18', 'All Levels', '1.5 hours', '2015-12-06T23:01:34Z']"
JavaScript for beginners with live examples,195,4587,46,4 hours,"['495484', 'JavaScript for beginners with live examples', 'https://www.udemy.com/javascript-from-basic-fundamentals-to-advanced/', 'TRUE', '195', '4587', '46', '49', 'Beginner Level', '4 hours', '2015-09-29T21:41:16Z']"
Bootstrap 3 Introduction : Create RESPONSIVE Websites Fast,50,2351,302,2.5 hours,"['398456', 'Bootstrap 3 Introduction : Create RESPONSIVE Websites Fast', 'https://www.udemy.com/bootstrap-3-introduction-make-responsive-websites-fast/', 'TRUE', '50', '2351', '302', '16', 'All Levels', '2.5 hours', '2015-01-21T04:02:16Z']"
Laravel(5.2) PHP Framework  Jump Start for beginners,20,3898,95,3 hours,"['615084', 'Laravel(5.2) PHP Framework  Jump Start for beginners', 'https://www.udemy.com/laravel-php-framework-jump-start-for-beginners/', 'TRUE', '20', '3898', '95', '32', 'Beginner Level', '3 hours', '2015-12-29T18:54:13Z']"
Professional WordPress Theme Development For 2017,20,3185,102,8 hours,"['492818', 'Professional WordPress Theme Development For 2017', 'https://www.udemy.com/advanced-wordpress-theme-development-next-level-of-theming/', 'TRUE', '20', '3185', '102', '94', 'All Levels', '8 hours', '2015-05-08T19:10:30Z']"
Learn Laravel PHP Framework Building Multi User SEO Blog APP,100,557,92,9.5 hours,"['1055322', 'Learn Laravel PHP Framework Building Multi User SEO Blog APP', 'https://www.udemy.com/learn-laravel-php-framework-building-multi-user-seo-blog-app/', 'TRUE', '100', '557', '92', '133', 'All Levels', '9.5 hours', '2017-01-04T23:51:26Z']"
Javascript Specialist,200,408,39,8 hours,"['1112604', 'Javascript Specialist', 'https://www.udemy.com/javascript-specialist/', 'TRUE', '200', '408', '39', '80', 'Beginner Level', '8 hours', '2017-02-23T00:54:07Z']"
Write PHP Like a Pro: Build a PHP MVC Framework From Scratch,70,1703,435,3 hours,"['424864', 'Write PHP Like a Pro: Build a PHP MVC Framework From Scratch', 'https://www.udemy.com/php-mvc-from-scratch/', 'TRUE', '70', '1703', '435', '65', 'All Levels', '3 hours', '2016-02-04T22:36:17Z']"
JavaScript Intro to learning JavaScript web programming,20,17554,94,1.5 hours,"['516062', 'JavaScript Intro to learning JavaScript web programming', 'https://www.udemy.com/javascript-intro-to-learning-javascript/', 'TRUE', '20', '17554', '94', '16', 'Beginner Level', '1.5 hours', '2015-06-01T20:44:42Z']"
Crash Course: Fundamentals Of HTML & CSS From Scratch.,20,7368,216,2 hours,"['92760', 'Crash Course: Fundamentals Of HTML & CSS From Scratch.', 'https://www.udemy.com/beginner-crash-course-fundamentals-of-html-css-in-60-mins/', 'TRUE', '20', '7368', '216', '52', 'Beginner Level', '2 hours', '2013-09-20T19:48:56Z']"
"Laravel, the complete guide with real world projects",200,676,119,14 hours,"['1064104', 'Laravel, the complete guide with real world projects', 'https://www.udemy.com/best-laravel/', 'TRUE', '200', '676', '119', '125', 'All Levels', '14 hours', '2017-02-03T16:28:48Z']"
VueJS V1 Introduction to VueJS JavaScript Framework,200,3632,28,2 hours,"['900434', 'VueJS V1 Introduction to VueJS JavaScript Framework', 'https://www.udemy.com/vuejs-introduction-to-vuejs-javascript-framework/', 'TRUE', '200', '3632', '28', '31', 'Beginner Level', '2 hours', '2016-07-26T16:53:56Z']"
HTML CSS: Essential steps to learn HTML CSS,145,10576,154,2.5 hours,"['609992', 'HTML CSS: Essential steps to learn HTML CSS', 'https://www.udemy.com/html-and-css-basics/', 'TRUE', '145', '10576', '154', '23', 'Beginner Level', '2.5 hours', '2015-11-11T22:43:15Z']"
Learn HTML 5 in 1 hour,100,11643,169,1 hour,"['77642', 'Learn HTML 5 in 1 hour', 'https://www.udemy.com/learn-html-5-in-1-hour/', 'TRUE', '100', '11643', '169', '21', 'Beginner Level', '1 hour', '2013-08-12T23:26:32Z']"
Learn Html5 & CSS3 from scratch,20,13960,239,2.5 hours,"['269006', 'Learn Html5 & CSS3 from scratch', 'https://www.udemy.com/learn-html5-css3-from-scratch/', 'TRUE', '20', '13960', '239', '19', 'All Levels', '2.5 hours', '2014-07-26T22:24:03Z']"
Responsive Web Design: Made Easy,195,5085,106,6.5 hours,"['151956', 'Responsive Web Design: Made Easy', 'https://www.udemy.com/responsive-web-design-made-easy/', 'TRUE', '195', '5085', '106', '27', 'All Levels', '6.5 hours', '2014-02-13T08:32:31Z']"
Parse Server: From Front End to Full Stack,200,1130,162,6 hours,"['908996', 'Parse Server: From Front End to Full Stack', 'https://www.udemy.com/parse-server/', 'TRUE', '200', '1130', '162', '66', 'Intermediate Level', '6 hours', '2016-07-29T00:54:17Z']"
Codeigniter: How to use Codeigniter that drives knowledge,150,14606,235,3 hours,"['269638', 'Codeigniter: How to use Codeigniter that drives knowledge', 'https://www.udemy.com/codeigniter/', 'TRUE', '150', '14606', '235', '21', 'All Levels', '3 hours', '2014-07-29T21:39:04Z']"
jQuery for Beginners - Create Website Animations Easily,100,2971,285,3 hours,"['452684', 'jQuery for Beginners - Create Website Animations Easily', 'https://www.udemy.com/jquery-for-beginners-fundamentals-training-tutorial-course/', 'TRUE', '100', '2971', '285', '28', 'All Levels', '3 hours', '2015-03-24T00:40:39Z']"
How to Build Chat Bots: From Beginner to Intermediate,140,2814,107,2 hours,"['844458', 'How to Build Chat Bots: From Beginner to Intermediate', 'https://www.udemy.com/how-to-build-chats-bots-from-beginner-to-expert/', 'TRUE', '140', '2814', '107', '35', 'All Levels', '2 hours', '2016-10-03T21:00:58Z']"
Web Development with BootStrap - 16 Instant Themes Included!,40,1355,45,3.5 hours,"['403604', 'Web Development with BootStrap - 16 Instant Themes Included!', 'https://www.udemy.com/bootstrap-course/', 'TRUE', '40', '1355', '45', '27', 'All Levels', '3.5 hours', '2015-07-14T20:32:14Z']"
Install a Wordpress Theme the Correct Way & Charge Others,20,2335,13,1 hour,"['549094', 'Install a Wordpress Theme the Correct Way & Charge Others', 'https://www.udemy.com/how-to-install-a-wordpress-theme-the-right-way/', 'TRUE', '20', '2335', '13', '18', 'All Levels', '1 hour', '2015-09-20T18:51:51Z']"
Coding for Entrepreneurs Basic,Free,161029,279,3.5 hours,"['59014', 'Coding for Entrepreneurs Basic', 'https://www.udemy.com/coding-for-entrepreneurs-basic/', 'FALSE', 'Free', '161029', '279', '27', 'Beginner Level', '3.5 hours', '2013-06-09T15:51:55Z']"
The CSS and CSS3 Crash Course,150,2051,99,13 hours,"['45941', 'The CSS and CSS3 Crash Course', 'https://www.udemy.com/the-css-and-css3-crash-course/', 'TRUE', '150', '2051', '99', '76', 'All Levels', '13 hours', '2013-03-15T16:13:42Z']"
Build a Business or Personal Website Using Wordpress,200,1069,12,4.5 hours,"['851868', 'Build a Business or Personal Website Using Wordpress', 'https://www.udemy.com/build-professional-business-personal-website-wordpress-create/', 'TRUE', '200', '1069', '12', '61', 'Beginner Level', '4.5 hours', '2016-07-25T17:34:51Z']"
Learn By Example: PHP For Dynamic Websites,50,1439,10,13 hours,"['814206', 'Learn By Example: PHP For Dynamic Websites', 'https://www.udemy.com/learn-by-example-php-for-dynamic-websites/', 'TRUE', '50', '1439', '10', '77', 'Beginner Level', '13 hours', '2016-04-06T19:52:40Z']"
Learn ReactJS: Code Like A Facebook Developer,20,1948,72,5 hours,"['590406', 'Learn ReactJS: Code Like A Facebook Developer', 'https://www.udemy.com/learn-react-js/', 'TRUE', '20', '1948', '72', '45', 'Intermediate Level', '5 hours', '2015-08-24T20:31:54Z']"
Learn to Build Web Apps using D3JS,40,841,99,3.5 hours,"['680180', 'Learn to Build Web Apps using D3JS', 'https://www.udemy.com/learn-to-build-web-apps-using-d3js/', 'TRUE', '40', '841', '99', '29', 'All Levels', '3.5 hours', '2015-12-01T23:08:23Z']"
How to create awesome website and e-commerce in 1 hour,20,937,4,1 hour,"['899492', 'How to create awesome website and e-commerce in 1 hour', 'https://www.udemy.com/how-to-create-awesome-websites-and-e-commerce-in-1-hour/', 'TRUE', '20', '937', '4', '10', 'All Levels', '1 hour', '2016-07-18T16:56:23Z']"
Joomla for Beginners - Learn how to build a website with CMS,95,583,7,3.5 hours,"['1056848', 'Joomla for Beginners - Learn how to build a website with CMS', 'https://www.udemy.com/joomla-for-beginners-build-a-website-with-joomla-cms/', 'TRUE', '95', '583', '7', '35', 'Beginner Level', '3.5 hours', '2017-01-23T22:41:08Z']"
Learning Drupal 8,50,577,97,9.5 hours,"['846412', 'Learning Drupal 8', 'https://www.udemy.com/learning-drupal-8/', 'TRUE', '50', '577', '97', '101', 'All Levels', '9.5 hours', '2016-05-11T21:05:20Z']"
Learn How To Build a Web Application Without Coding,Free,9364,311,32 mins,"['336938', 'Learn How To Build a Web Application Without Coding', 'https://www.udemy.com/learn-how-to-build-a-web-application-without-coding/', 'FALSE', 'Free', '9364', '311', '10', 'Beginner Level', '32 mins', '2015-03-04T21:44:18Z']"
Rock Solid Wordpress Security - Secure Web Development,Free,5052,92,1.5 hours,"['375136', 'Rock Solid Wordpress Security - Secure Web Development', 'https://www.udemy.com/rock-solid-wordpress-security-secure-wordpress-easily/', 'FALSE', 'Free', '5052', '92', '23', 'All Levels', '1.5 hours', '2014-12-28T01:13:28Z']"
Mastering JavaScript,95,694,39,4 hours,"['602218', 'Mastering JavaScript', 'https://www.udemy.com/mastering-javascript/', 'TRUE', '95', '694', '39', '39', 'Expert Level', '4 hours', '2015-09-04T20:18:51Z']"
PHP Laravel 5:Creating a CRUD application,45,511,12,33 mins,"['1022682', 'PHP Laravel 5:Creating a CRUD application', 'https://www.udemy.com/laravel-5creating-a-crud-application/', 'TRUE', '45', '511', '12', '7', 'All Levels', '33 mins', '2016-11-28T17:44:21Z']"
XQUERY :basics for beginners,40,937,2,38 mins,"['968304', 'XQUERY :basics for beginners', 'https://www.udemy.com/xquery-basics-for-beginners/', 'TRUE', '40', '937', '2', '6', 'All Levels', '38 mins', '2016-09-27T15:26:05Z']"
PHP Development with the Laravel Framework,50,1611,24,3.5 hours,"['180547', 'PHP Development with the Laravel Framework', 'https://www.udemy.com/php-development-with-laravel-4/', 'TRUE', '50', '1611', '24', '20', 'All Levels', '3.5 hours', '2014-03-11T20:40:48Z']"
WordPress Development - Themes and Plugins Complete Guide,200,103,11,5.5 hours,"['1178762', 'WordPress Development - Themes and Plugins Complete Guide', 'https://www.udemy.com/wordpress-theme-and-plugin-development-course/', 'TRUE', '200', '103', '11', '72', 'All Levels', '5.5 hours', '2017-06-30T23:14:31Z']"
Basic JavaScript: Build 4 Basic JavaScript Projects,40,670,33,4.5 hours,"['641236', 'Basic JavaScript: Build 4 Basic JavaScript Projects', 'https://www.udemy.com/practical-javascript-javascript-basics/', 'TRUE', '40', '670', '33', '37', 'Beginner Level', '4.5 hours', '2016-02-04T03:55:24Z']"
HTML and CSS for Beginning Web Developers,100,1606,28,9 hours,"['130168', 'HTML and CSS for Beginning Web Developers', 'https://www.udemy.com/html-and-css-for-beginning-web-developers/', 'TRUE', '100', '1606', '28', '73', 'Beginner Level', '9 hours', '2013-12-13T18:19:58Z']"
Popular JavaScript Framework:Learn The Language Of Angular 2,200,260,22,11 hours,"['1002210', 'Popular JavaScript Framework:Learn The Language Of Angular 2', 'https://www.udemy.com/popular-javascript-frameworklearn-the-language-of-angular-2/', 'TRUE', '200', '260', '22', '64', 'Beginner Level', '11 hours', '2016-11-11T21:27:55Z']"
The Ultimate Guide to the Best WordPress Plugins Part 1,50,122,10,10.5 hours,"['1076424', 'The Ultimate Guide to the Best WordPress Plugins Part 1', 'https://www.udemy.com/wordpress-plugins-a-guide-on-the-best-plugins-part-1/', 'TRUE', '50', '122', '10', '116', 'All Levels', '10.5 hours', '2017-02-16T23:30:02Z']"
XSLT :basics for beginners,35,877,6,32 mins,"['968278', 'XSLT :basics for beginners', 'https://www.udemy.com/xslt-basics-for-beginners/', 'TRUE', '35', '877', '6', '7', 'All Levels', '32 mins', '2016-09-27T15:14:59Z']"
The Complete Wordpress Plugin Development Course - 8 Plugins,200,1215,58,2.5 hours,"['50528', 'The Complete Wordpress Plugin Development Course - 8 Plugins', 'https://www.udemy.com/wordpress-plugin-development/', 'TRUE', '200', '1215', '58', '33', 'All Levels', '2.5 hours', '2013-05-29T15:09:48Z']"
JSON Crash Course for Beginners,45,3323,90,38 mins,"['1075808', 'JSON Crash Course for Beginners', 'https://www.udemy.com/json-crash-course-for-beginners-learn-json-in-one-hour/', 'TRUE', '45', '3323', '90', '7', 'Beginner Level', '38 mins', '2017-01-17T05:11:14Z']"
You can create Incredible Websites with HTML CSS learn how,100,11892,50,2.5 hours,"['560996', 'You can create Incredible Websites with HTML CSS learn how', 'https://www.udemy.com/learn-to-create-html-css-web-templates-create-web-pages/', 'TRUE', '100', '11892', '50', '28', 'All Levels', '2.5 hours', '2015-09-12T01:35:41Z']"
JavaScript Tricks how to create code projects from scratch,75,15106,31,1.5 hours,"['654680', 'JavaScript Tricks how to create code projects from scratch', 'https://www.udemy.com/learn-javascript-code-create-projects-from-scratch/', 'TRUE', '75', '15106', '31', '16', 'All Levels', '1.5 hours', '2015-10-29T23:39:45Z']"
The Sass Course! Learn Sass for Real-World Websites,95,975,141,3.5 hours,"['975906', 'The Sass Course! Learn Sass for Real-World Websites', 'https://www.udemy.com/learn-sass/', 'TRUE', '95', '975', '141', '18', 'All Levels', '3.5 hours', '2016-12-08T16:53:19Z']"
Web Design How to Create a Website HTML CSS Bootstrap,75,5263,29,2 hours,"['951060', 'Web Design How to Create a Website HTML CSS Bootstrap', 'https://www.udemy.com/how-to-create-a-website-html-css-bootstrap/', 'TRUE', '75', '5263', '29', '29', 'Beginner Level', '2 hours', '2016-09-12T13:14:13Z']"
Master Angular 4 by Example - Build 7 Awesome Apps!,195,596,32,8 hours,"['1142202', 'Master Angular 4 by Example - Build 7 Awesome Apps!', 'https://www.udemy.com/learn-angular-4/', 'TRUE', '195', '596', '32', '84', 'All Levels', '8 hours', '2017-05-01T22:06:23Z']"
Create A Custom Responsive WordPress Website For A Client,95,7517,89,4.5 hours,"['159760', 'Create A Custom Responsive WordPress Website For A Client', 'https://www.udemy.com/create-custom-responsive-wordpress-website-client/', 'TRUE', '95', '7517', '89', '47', 'All Levels', '4.5 hours', '2014-04-21T11:35:18Z']"
Mastering HTML5 Programming - The Easier Way,75,21653,138,7 hours,"['30243', 'Mastering HTML5 Programming - The Easier Way', 'https://www.udemy.com/html5-programming-tutorials/', 'TRUE', '75', '21653', '138', '35', 'All Levels', '7 hours', '2013-01-07T11:44:35Z']"
How to Launch Your Own Website Builder Service,20,9028,87,1.5 hours,"['566910', 'How to Launch Your Own Website Builder Service', 'https://www.udemy.com/how-to-launch-your-own-website-builder-service/', 'TRUE', '20', '9028', '87', '12', 'Beginner Level', '1.5 hours', '2015-07-28T20:20:59Z']"
Getting Started with HTML,40,7375,52,1.5 hours,"['783158', 'Getting Started with HTML', 'https://www.udemy.com/html-basics-course/', 'TRUE', '40', '7375', '52', '17', 'Beginner Level', '1.5 hours', '2016-03-07T18:40:52Z']"
Spring Framework 4 (Java Enterprise JEE) with AngularJS,95,5177,318,13.5 hours,"['554384', 'Spring Framework 4 (Java Enterprise JEE) with AngularJS', 'https://www.udemy.com/java-spring-mvc-framework-with-angularjs-by-google-and-html5/', 'TRUE', '95', '5177', '318', '70', 'All Levels', '13.5 hours', '2015-09-21T23:12:59Z']"
Build A Weather App With Ajax Using Open Weather Map API,20,6548,44,4 hours,"['1027812', 'Build A Weather App With Ajax Using Open Weather Map API', 'https://www.udemy.com/build-a-weather-app-with-ajax-using-open-weather-map-api/', 'TRUE', '20', '6548', '44', '38', 'All Levels', '4 hours', '2016-12-01T21:49:26Z']"
Essentials of JavaScript Practice Coding Exercises Tips,80,28125,115,2 hours,"['607048', 'Essentials of JavaScript Practice Coding Exercises Tips', 'https://www.udemy.com/essentials-of-javascript-practice-coding-exercises-tips/', 'TRUE', '80', '28125', '115', '21', 'Beginner Level', '2 hours', '2015-09-25T22:30:00Z']"
Learn and Earn with HTML & CSS,20,9349,206,4 hours,"['704732', 'Learn and Earn with HTML & CSS', 'https://www.udemy.com/learn-and-earn-with-html-css/', 'TRUE', '20', '9349', '206', '69', 'All Levels', '4 hours', '2016-03-11T20:11:22Z']"
Get started Creating Websites Everything you need provided,100,14260,44,3 hours,"['574876', 'Get started Creating Websites Everything you need provided', 'https://www.udemy.com/get-started-creating-websites-everything-you-need-provided/', 'TRUE', '100', '14260', '44', '43', 'Beginner Level', '3 hours', '2015-09-25T18:13:40Z']"
JavaScript in Action JavaScript Projects,150,7720,58,1.5 hours,"['803378', 'JavaScript in Action JavaScript Projects', 'https://www.udemy.com/javascript-in-action-learn-javascript-projects/', 'TRUE', '150', '7720', '58', '17', 'Beginner Level', '1.5 hours', '2016-03-29T18:01:39Z']"
Modern Web Development with Laravel 5.2 (PHP Framework),120,2142,536,12 hours,"['715516', 'Modern Web Development with Laravel 5.2 (PHP Framework)', 'https://www.udemy.com/modern-web-development-with-laravel/', 'TRUE', '120', '2142', '536', '71', 'All Levels', '12 hours', '2016-01-24T17:33:52Z']"
Programming for Entrepreneurs - JavaScript,200,12873,106,2.5 hours,"['101864', 'Programming for Entrepreneurs - JavaScript', 'https://www.udemy.com/javascript-tutorial/', 'TRUE', '200', '12873', '106', '38', 'Beginner Level', '2.5 hours', '2013-11-11T00:28:17Z']"
Create a Website from Scratch using HTML CSS step by step,75,12882,95,1.5 hours,"['682484', 'Create a Website from Scratch using HTML CSS step by step', 'https://www.udemy.com/create-a-website-from-scratch-using-html-css-in-1-hour/', 'TRUE', '75', '12882', '95', '20', 'Beginner Level', '1.5 hours', '2015-11-27T23:15:24Z']"
Complete AJAX Course: Learn AJAX Techniques Using Bootstrap,195,12368,89,3.5 hours,"['657734', 'Complete AJAX Course: Learn AJAX Techniques Using Bootstrap', 'https://www.udemy.com/ajaxcourse/', 'TRUE', '195', '12368', '89', '26', 'All Levels', '3.5 hours', '2015-11-13T22:03:15Z']"
Learn jQuery by Example Course,170,8625,94,5 hours,"['797038', 'Learn jQuery by Example Course', 'https://www.udemy.com/complete-jquery-course/', 'TRUE', '170', '8625', '94', '73', 'Beginner Level', '5 hours', '2016-04-23T07:47:40Z']"
Bootstrap 4 Theme Development Masterclass,150,2641,28,39 mins,"['1099956', 'Bootstrap 4 Theme Development Masterclass', 'https://www.udemy.com/bootstrap-theme-development-masterclass/', 'TRUE', '150', '2641', '28', '15', 'All Levels', '39 mins', '2017-02-24T02:29:03Z']"
Wordpress Theme Development for Beginners,20,1052,14,8 hours,"['1211800', 'Wordpress Theme Development for Beginners', 'https://www.udemy.com/wordpress-theme-development-for-beginners/', 'TRUE', '20', '1052', '14', '47', 'All Levels', '8 hours', '2017-05-17T22:55:23Z']"
Web Design Creating websites from scratch,75,13920,64,2 hours,"['958750', 'Web Design Creating websites from scratch', 'https://www.udemy.com/web-design-creating-websites-from-scratch/', 'TRUE', '75', '13920', '64', '28', 'Beginner Level', '2 hours', '2016-09-19T22:32:38Z']"
HTML Learning the Basics Intro to HTML website coding,20,7416,65,39 mins,"['515188', 'HTML Learning the Basics Intro to HTML website coding', 'https://www.udemy.com/html-learning-the-basics-intro-to-html-website-coding/', 'TRUE', '20', '7416', '65', '14', 'Beginner Level', '39 mins', '2015-05-31T21:28:27Z']"
Learn how to use Javascript Components with PHP and Symfony,90,1822,4,2 hours,"['1172740', 'Learn how to use Javascript Components with PHP and Symfony', 'https://www.udemy.com/learn-how-to-use-javascript-components-with-php-and-symfony/', 'TRUE', '90', '1822', '4', '25', 'All Levels', '2 hours', '2017-06-05T17:43:55Z']"
So you think you know JavaScript?,50,1010,154,6 hours,"['846832', 'So you think you know JavaScript?', 'https://www.udemy.com/so-you-think-you-know-javascript-1/', 'TRUE', '50', '1010', '154', '25', 'All Levels', '6 hours', '2016-05-12T14:52:32Z']"
Learn Node.js by building Udemy: Stripe + MailChimp + Wistia,110,1425,36,5.5 hours,"['943306', 'Learn Node.js by building Udemy: Stripe + MailChimp + Wistia', 'https://www.udemy.com/use-javascript-to-build-udemy-stripe-mailchimp-wistia/', 'TRUE', '110', '1425', '36', '34', 'All Levels', '5.5 hours', '2016-09-12T23:42:46Z']"
Learn jQuery: An In-depth Course For Beginners,50,7014,95,4.5 hours,"['11153', 'Learn jQuery: An In-depth Course For Beginners', 'https://www.udemy.com/jquery/', 'TRUE', '50', '7014', '95', '62', 'All Levels', '4.5 hours', '2011-11-29T01:29:11Z']"
JavaScript for Beginning Web Developers,75,7785,416,4.5 hours,"['147908', 'JavaScript for Beginning Web Developers', 'https://www.udemy.com/learn-javascript-programming/', 'TRUE', '75', '7785', '416', '33', 'Beginner Level', '4.5 hours', '2014-01-16T18:07:39Z']"
JQuery Create Overlay Popups from scratch using Jquery,50,4407,17,2.5 hours,"['688092', 'JQuery Create Overlay Popups from scratch using Jquery', 'https://www.udemy.com/jquery-create-modal-popup-windows-from-scratch-using-jquery/', 'TRUE', '50', '4407', '17', '29', 'All Levels', '2.5 hours', '2015-12-04T17:06:24Z']"
Vue JS 2: From Beginner to Professional,145,602,93,15.5 hours,"['1047968', 'Vue JS 2: From Beginner to Professional', 'https://www.udemy.com/vuejs-from-beginner-to-professional/', 'TRUE', '145', '602', '93', '214', 'All Levels', '15.5 hours', '2016-12-28T03:56:24Z']"
Ultimate AngularJS: Build a Real-World App from Scratch,100,1712,438,5.5 hours,"['585496', 'Ultimate AngularJS: Build a Real-World App from Scratch', 'https://www.udemy.com/ultimate-angularjs-course/', 'TRUE', '100', '1712', '438', '49', 'All Levels', '5.5 hours', '2016-02-08T23:41:51Z']"
Wordpress Site Migration,20,1894,40,1.5 hours,"['911712', 'Wordpress Site Migration', 'https://www.udemy.com/wordpress-site-migration-tutorial/', 'TRUE', '20', '1894', '40', '35', 'All Levels', '1.5 hours', '2016-07-28T02:38:31Z']"
introduction to HTML Course,20,3258,32,2 hours,"['803074', 'introduction to HTML Course', 'https://www.udemy.com/introduction-to-html-course/', 'TRUE', '20', '3258', '32', '16', 'Beginner Level', '2 hours', '2016-05-16T15:14:17Z']"
Create Single Page Website using Twitter Bootstrap 3,20,7449,111,1 hour,"['200742', 'Create Single Page Website using Twitter Bootstrap 3', 'https://www.udemy.com/create-single-page-website-using-twitter-bootstrap/', 'TRUE', '20', '7449', '111', '13', 'Intermediate Level', '1 hour', '2014-04-19T20:10:39Z']"
The All-In-One Web Development Course,85,538,13,18.5 hours,"['1072248', 'The All-In-One Web Development Course', 'https://www.udemy.com/the-all-in-one-web-development-course/', 'TRUE', '85', '538', '13', '113', 'All Levels', '18.5 hours', '2017-04-27T21:06:16Z']"
Code a Responsive Website Using HTML5 and CSS for Beginners,50,1271,136,7.5 hours,"['143028', 'Code a Responsive Website Using HTML5 and CSS for Beginners', 'https://www.udemy.com/how-to-code-a-responsive-website-using-html5-and-css/', 'TRUE', '50', '1271', '136', '110', 'Beginner Level', '7.5 hours', '2014-01-09T17:51:10Z']"
AngularJS for the Real World - Learn by creating a WebApp,115,1407,137,7 hours,"['173888', 'AngularJS for the Real World - Learn by creating a WebApp', 'https://www.udemy.com/angularjs-for-the-real-world-learn-to-create-a-webapp/', 'TRUE', '115', '1407', '137', '69', 'All Levels', '7 hours', '2015-09-07T17:54:39Z']"
Wordpress Tutorial   ,200,2311,8,1.5 hours,"['361620', 'Wordpress Tutorial   ', 'https://www.udemy.com/responsive-design/', 'TRUE', '200', '2311', '8', '44', 'All Levels', '1.5 hours', '2014-12-04T19:17:17Z']"
Create a REAL Social Network like Facebook in PHP + MySQL,45,1002,178,16.5 hours,"['418386', 'Create a REAL Social Network like Facebook in PHP + MySQL', 'https://www.udemy.com/make-a-social-media-website/', 'TRUE', '45', '1002', '178', '174', 'All Levels', '16.5 hours', '2016-09-19T15:54:37Z']"
Advanced Node.js Development,55,2565,32,3 hours,"['212398', 'Advanced Node.js Development', 'https://www.udemy.com/refactoru-adv-nodejs/', 'TRUE', '55', '2565', '32', '41', 'Expert Level', '3 hours', '2014-08-28T03:35:30Z']"
ASP.NET MVC 5 Project - Facebook Clone,30,210,19,5 hours,"['1097778', 'ASP.NET MVC 5 Project - Facebook Clone', 'https://www.udemy.com/aspnet-mvc-5-project-facebook-clone/', 'TRUE', '30', '210', '19', '41', 'All Levels', '5 hours', '2017-02-09T04:38:46Z']"
Bootstrap For Beginners: A  Basic Introduction,55,1186,14,40 mins,"['653852', 'Bootstrap For Beginners: A  Basic Introduction', 'https://www.udemy.com/bootstrap-for-beginners-a-basic-introduction/', 'TRUE', '55', '1186', '14', '9', 'Beginner Level', '40 mins', '2015-11-13T19:13:51Z']"
jQuery for Beginners,20,1421,17,4 hours,"['598516', 'jQuery for Beginners', 'https://www.udemy.com/jquery-for-beginners_sre/', 'TRUE', '20', '1421', '17', '36', 'All Levels', '4 hours', '2015-11-10T21:52:55Z']"
JavaScript Basics For Web Developers,20,958,14,1 hour,"['900794', 'JavaScript Basics For Web Developers', 'https://www.udemy.com/javascript-basics-for-web-developers/', 'TRUE', '20', '958', '14', '17', 'Beginner Level', '1 hour', '2016-07-11T17:30:42Z']"
Learn PHP from Scratch,50,1550,25,1.5 hours,"['564546', 'Learn PHP from Scratch', 'https://www.udemy.com/learn-php-from-scratch-in-1-3-hr/', 'TRUE', '50', '1550', '25', '27', 'Beginner Level', '1.5 hours', '2015-07-26T20:44:15Z']"
Learn Express,25,1309,60,1.5 hours,"['516064', 'Learn Express', 'https://www.udemy.com/learn-express/', 'TRUE', '25', '1309', '60', '14', 'Intermediate Level', '1.5 hours', '2015-06-01T21:34:14Z']"
"Build A Web App with VueJS, Spring Framework and MongoDB",145,251,32,3.5 hours,"['1024844', 'Build A Web App with VueJS, Spring Framework and MongoDB', 'https://www.udemy.com/build-a-message-board-app-with-vue-spring-and-mongodb/', 'TRUE', '145', '251', '32', '25', 'All Levels', '3.5 hours', '2016-11-30T21:59:37Z']"
